unique_id,full_name,electoral_district,category_declaration,income_category,income_description,income_value,income_value_clean,taxes_value,,property_category,property_description,property_location,property_date,property_legal,deposits_description,deposits_value,deposits_value_clean,other_financial_category,other_financial_description,other_financial_euros,other_financial_clean,vehicles_date,vehicles_description,other_nocat_description,other_nocat_value,debt_institution,debt_date,debt_amount,debt_amount_remain,debt_other,comments
Maríadelmargarcíapuig,MARÍA DEL MAR GARCIA PUIG,,depositos,,,,,,,,,,,,CUENTA CORRIENTE,5.19 €,5.19,,,,,,,,,,,,,,
Lauralópezdomínguez,LAURA LÓPEZ DOMÍNGUEZ,GIRONA,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",SUELDO,29107.01,29107.01,,,,,,,,,,,,,,,,,,,,,,,,
Lauralópezdomínguez,LAURA LÓPEZ DOMÍNGUEZ,,cantidad pagada por irpf,,,,,5976.38,,,,,,,,,,,,,,,,,,,,,,,
Lauralópezdomínguez,LAURA LÓPEZ DOMÍNGUEZ,,depositos,,,,,,,,,,,,CUENTA CORRIENTE,"3,763.96 €",3763.96,,,,,,,,,,,,,,
Lauralópezdomínguez,LAURA LÓPEZ DOMÍNGUEZ,,vehículos,,,,,,,,,,,,,,,,,,,17/7/2017,SEAT IBIZA,,,,,,,,
Lauralópezdomínguez,LAURA LÓPEZ DOMÍNGUEZ,,deudas,,,,,,,,,,,,,,,,,,,,,,,Préstamo personal,42933,"10,990.55",6485.78,,
Lauralópezdomínguez,LAURA LÓPEZ DOMÍNGUEZ,,deudas,,,,,,,,,,,,,,,,,,,,,,,Préstamo personal,42859,"6,000.00",3177.63,,
Lauralópezdomínguez,LAURA LÓPEZ DOMÍNGUEZ,,deudas,,,,,,,,,,,,,,,,,,,,,,,Préstamo personal,43252,"17,000.00",13598.75,,
Lauralópezdomínguez,LAURA LÓPEZ DOMÍNGUEZ,,deudas,,,,,,,,,,,,,,,,,,,,,,,Préstamo personal,43374,409,279.00,,
Lauralópezdomínguez,LAURA LÓPEZ DOMÍNGUEZ,,deudas,,,,,,,,,,,,,,,,,,,,,,,Préstamo estudios,2011,"12,000.00",12000.00,,
Lauralópezdomínguez,LAURA LÓPEZ DOMÍNGUEZ,,deudas,,,,,,,,,,,,,,,,,,,,,,,,,,,"Préstamo Cotitular Solidario - Fecha Concesión: 29/10/2013 Importe Concedido: 19500 Saldo Pendiente: 11605,35",
Manuelmestrebarea,MANUEL MESTRE BAREA,ALICANTE,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación","CONGRESO DE LOS DIPUTADOS, DIPUTADO NACIONAL",27033.45,27033.45,,,,,,,,,,,,,,,,,,,,,,,,
Manuelmestrebarea,MANUEL MESTRE BAREA,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",PENSIÓN DE CLASES PASIVAS,2659.61,2659.61,,,,,,,,,,,,,,,,,,,,,,,,
Manuelmestrebarea,MANUEL MESTRE BAREA,,cantidad pagada por irpf,,,,,9261.69,,,,,,,,,,,,,,,,,,,,,,,
Manuelmestrebarea,MANUEL MESTRE BAREA,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA,ALICANTE,2017,COMPRAVENTA/HERENCIA,,,,,,,,,,,,,,,,,
Manuelmestrebarea,MANUEL MESTRE BAREA,,depositos,,,,,,,,,,,,CUENTA CORRIENTE/PLAN DE PENSIONES,"48,505.04 €",48505.04,,,,,,,,,,,,,,
Manuelmestrebarea,MANUEL MESTRE BAREA,,vehículos,,,,,,,,,,,,,,,,,,,2010,VOLVO XC60,,,,,,,,
Manuelmestrebarea,MANUEL MESTRE BAREA,,deudas,,,,,,,,,,,,,,,,,,,,,,,BANCO ING,43072,"20,000.00",15272.94,,
Manuelmestrebarea,MANUEL MESTRE BAREA,,deudas,,,,,,,,,,,,,,,,,,,,,,,ONEY,43628,"8,000.00",8401.36,,
Ainavidalsáez,AINA VIDAL SÁEZ,BARCELONA,rentas,"Intereses o rendimientos de cuentas, depósitos y activos financieros",,196.38,196.38,,,,,,,,,,,,,,,,,,,,,,,,
Ainavidalsáez,AINA VIDAL SÁEZ,,cantidad pagada por irpf,,,,,12201.38,,,,,,,,,,,,,,,,,,,,,,,
Ainavidalsáez,AINA VIDAL SÁEZ,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA HABITUAL PISO,BARCELONA,20 octubre de 2017,PROPIEDAD AL 50% (COMPRAVENTA),,,,,,,,,,,,,,,,,
Ainavidalsáez,AINA VIDAL SÁEZ,,depositos,,,,,,,,,,,,,"5,814.76 €",5814.76,,,,,,,,,,,,,,
Ainavidalsáez,AINA VIDAL SÁEZ,,deudas,,,,,,,,,,,,,,,,,,,,,,,hipoteca por vivienda habitual al 50% concedida por el bbva,43028,"159,200.00",152090.06,,
Luissantamaríaruiz,LUIS JAVIER SANTAMARIA RUIZ,VALENCIA,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",LAS DEL CONGRESO DE LOS DIPUTADOS,,0,,,,,,,,,,,,,,,,,,,,,,,,
Luissantamaríaruiz,LUIS JAVIER SANTAMARIA RUIZ,,cantidad pagada por irpf,,,,,22438.82,,,,,,,,,,,,,,,,,,,,,,,
Luissantamaríaruiz,LUIS JAVIER SANTAMARIA RUIZ,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA CON DOS PLAZAS DE GARAJE Y TRASTERO,VALENCIA,2001,COMPRAVENTA GANANCIALES,,,,,,,,,,,,,,,,,
Luissantamaríaruiz,LUIS JAVIER SANTAMARIA RUIZ,,depositos,,,,,,,,,,,,CUENTA CORRIENTE,"2,000.00 €",2000.00,,,,,,,,,,,,,,
Luissantamaríaruiz,LUIS JAVIER SANTAMARIA RUIZ,,vehículos,,,,,,,,,,,,,,,,,,,2011,FIAT FREEMONT,,,,,,,,
Luissantamaríaruiz,LUIS JAVIER SANTAMARIA RUIZ,,vehículos,,,,,,,,,,,,,,,,,,,2008,MOTOCICLETA BMW K-1200-R,,,,,,,,
Luissantamaríaruiz,LUIS JAVIER SANTAMARIA RUIZ,,vehículos,,,,,,,,,,,,,,,,,,,2018,LAMBRETT A 150 L TI,,,,,,,,
Luissantamaríaruiz,LUIS JAVIER SANTAMARIA RUIZ,,deudas,,,,,,,,,,,,,,,,,,,,,,,HIPOTECARIO ADQUISICION DE VIVIENDA,,"250,000.00",150000.00,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,MADRID,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",PARLAMENTO DE NAVARRA,58481,58481,,,,,,,,,,,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,rentas,OTRAS rentas o percepciones de cualquier clase,ALQUILER VIVIENDA,700,700,,,,,,,,,,,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,rentas,OTRAS rentas o percepciones de cualquier clase,VENTA 25% VIVIENDA MADRID,150000,150000,,,,,,,,,,,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,cantidad pagada por irpf,,,,,19549.28,,,,,,,,,,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA,NAVARRA,2003,50% P.D. SOLAR Y CONSTRUCCiÓN,,,,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA,HUESCA,1991,50% P.D. COMPRAVENTA,,,,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA Y GARAJE,MÁLAGA,2017,P.D. COMPRAVENTA,,,,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,EDIFICIO,ZARAGOZA,1992,25% COMUNIDAD DE BIENES DONACiÓN,,,,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA,ZARAGOZA,2005,25% COMUNIDAD DE BIENES HERENCIA,,,,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza rústica,FINCA RÚSTICA,ZARAGOZA,2005,25% COMUNIDAD DE BIENES HERENCIA,,,,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,bienes patrimoniales,,,,,,,"Bienes inmuebles propiedad de una sociedad, comunidad o entidad que no cotiza en Bolsa y de la que el declarante tiene acciones o participaciones. ",4 NAVES INDUSTRIALES,ZARAGOZA,2015,25% PARTICIPACiÓN SOCIEDAD COMPRAVENTA,,,,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,depositos,,,,,,,,,,,,,"547,519.00 €",547519.00,,,,,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,otros bienes o derechos,,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados d e depósito, pagarés, y demás valores equivalentes. Acciones y participaciones en todo tipo de sociedades, entidades con valor económico y cooperativas. ",25% INDUSTRIAS PLAZA S.L.,300000,300000.00,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,otros bienes o derechos,,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados d e depósito, pagarés, y demás valores equivalentes. Acciones y participaciones en todo tipo de sociedades, entidades con valor económico y cooperativas. ","5,46 % COMPAÑIA DE VINOS HERACLlO ALFARO S.L. ",17962,17962.00,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,otros bienes o derechos,,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados d e depósito, pagarés, y demás valores equivalentes. Acciones y participaciones en todo tipo de sociedades, entidades con valor económico y cooperativas. ",75 ACCIONES TELEFÓNICA,550,550.00,,,,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,vehículos,,,,,,,,,,,,,,,,,,,2017,"MERCEDES GLA 1,8",,,,,,,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,deudas,,,,,,,,,,,,,,,,,,,,,,,PRETAMO HIPOTECARIO 50%,2003,"240,000.00",95000.00,,
Anamaríabeltránvillalba,ANA MARÍA BELTRÁN VILLALBA,,deudas,,,,,,,,,,,,,,,,,,,,,,,PRETAMO PERSONAL,2018,"400,000.00",400000.00,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,ASTURIAS,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación","Ministra de Sanidad, Consumo y Bienestar Social(12/09/2018-31/12/2018)",14807.8,14807.8,,,,,,,,,,,,,,,,,,,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",Alto Comisionado Lucha contra la Pobreza Infantil (21/06/2.018-11/09/2018),17175.83,17175.83,,,,,,,,,,,,,,,,,,,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación","SESPA- Principado de Asturias. En concepto de trienios y antigüedad, total cantidades percibidas hasta 30/08/2018",5669.09,5669.09,,,,,,,,,,,,,,,,,,,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,rentas,"Dividendos y participación en beneficios de sociedades, comunidades o entidades de cualquier clase ",Dividendos de acciones cotizadas en Bolsa,367.9,367.9,,,,,,,,,,,,,,,,,,,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,cantidad pagada por irpf,,,,,21413.91,,,,,,,,,,,,,,,,,,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA,ASTURIAS,9/6/1905,PLENO DOMINIO,,,,,,,,,,,,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,depositos,,,,,,,,,,,,Depósitos en cuentas corrientes Plan de pensiones,"31.859,O7 10.330,98",31859.07,,,,,,,,,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,otros bienes o derechos,,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados d e depósito, pagarés, y demás valores equivalentes. Acciones y participaciones en todo tipo de sociedades, entidades con valor económico y cooperativas. ",FI L1BERBANK CART MODERADA,145750.29,145750.29,,,,,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,otros bienes o derechos,,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados d e depósito, pagarés, y demás valores equivalentes. Acciones y participaciones en todo tipo de sociedades, entidades con valor económico y cooperativas. ",TELEFÓNICA,6241.77,6241.77,,,,,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,otros bienes o derechos,,,,,,,,,,,,,,,"Deuda pública, obligaciones, bonos, certificados d e depósito, pagarés, y demás valores equivalentes. Acciones y participaciones en todo tipo de sociedades, entidades con valor económico y cooperativas. ",BBVA,1639.89,1639.89,,,,,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,vehículos,,,,,,,,,,,,,,,,,,,1998,"AUDI A4 TDI 1,9",,,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,otros,,,,,,,,,,,,,,,,,,,,,PLAN DE PREVISION ASEGURADO,24340162,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,otros,,,,,,,,,,,,,,,,,,,,,SEGURO DE VIDA,6113159,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,otros,,,,,,,,,,,,,,,,,,,,,FONDO DE INVERSIÓN,10935075,,,,,,
Maríaluisacarcedoroces,MARÍA LUISA CARCEDO ROCES,,otros,,,,,,,,,,,,,,,,,,,,,Microcréditos PSOE ( 4000 € amortizado Abril de 2019),8000,,,,,,
Sofíafernándezcastañón,SOFÍA FERNÁNDEZ CASTAÑON,AUSTURIES,cantidad pagada por irpf,,,,,14265.46,,,,,,,,,,,,,,,,,,,,,,,
Sofíafernándezcastañón,SOFÍA FERNÁNDEZ CASTAÑON,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA,ASTURIAS,7/7/1905,PROPIEDAD AL 50% COMPRAVENTA,,,,,,,,,,,,,,,,,
Sofíafernándezcastañón,SOFÍA FERNÁNDEZ CASTAÑON,,depositos,,,,,,,,,,,,CUENTAS CORRIENTES,"4,830.00 €",4830.00,,,,,,,,,,,,,,
Sofíafernándezcastañón,SOFÍA FERNÁNDEZ CASTAÑON,,vehículos,,,,,,,,,,,,,,,,,,,2/11/2014,BICICLETA POR VALOR DE 120,,,,,,,,
Sofíafernándezcastañón,SOFÍA FERNÁNDEZ CASTAÑON,,deudas,,,,,,,,,,,,,,,,,,,,,,,Préstamo hipotecario a 25 afias de Liberbank,42339,"48,000.00",41490.00,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,HUELVA,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",RETRIBUCIONES COMO CONCEJALA DEL AYUNTAMIENTO DE  MOGUER CON DEDICACiÓN EXCLUSIVA A JORNADA COMPLETA,23782.27,23782.27,,,,,,,,,,,,,,,,,,,,,,,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",PRESTACIONES DERIVADAS DE INCAPACIDAD LABORAL,606.52,606.52,,,,,,,,,,,,,,,,,,,,,,,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,rentas,OTRAS rentas o percepciones de cualquier clase,RENTAS INMOBILIARIAS,1272.14,1272.14,,,,,,,,,,,,,,,,,,,,,,,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,cantidad pagada por irpf,,,,,5064.65,,,,,,,,,,,,,,,,,,,,,,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA,HUELVA,1/3/2006,PLENO DOMINIO (100%) COMPRAVENTA,,,,,,,,,,,,,,,,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA,HUELVA,8/4/2003,NUDA PROPIEDAD (50%) HERENCIA,,,,,,,,,,,,,,,,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA,HUELVA,19/10/2001,NUDA PROPIEDAD (50%) HERENCIA,,,,,,,,,,,,,,,,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,PLAZA DE APARCAMIENTO,HUELVA,19/10/2001,NUDA PROPIEDAD (50%) HERENCIA,,,,,,,,,,,,,,,,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,LOCAL COMERCIAL,HUELVA,8/4/1997,NUDA PROPIEDAD (100%) HERENCIA,,,,,,,,,,,,,,,,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,depositos,,,,,,,,,,,,,24767.49,24767.49,,,,,,,,,,,,,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,vehículos,,,,,,,,,,,,,,,,,,,30/3/2016,"VEHICULO ""RENAUL T KADJAR""",,,,,,,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,deudas,,,,,,,,,,,,,,,,,,,,,,,HIPOTECA VIVIENDA HABITUAL,38797,"114,200.00",58331.01,,
Maríadelpilarrodríguezgómez,MARÍA DEL PILAR RODRÍGUEZ GÓMEZ,,deudas,,,,,,,,,,,,,,,,,,,,,,,PRESTAMO PERSONAL AL CONSUMO,42459,"18,639.95",7624.28,,
Rubéndaríovegaarias,RUBÉN DARÍO VEGA ARIAS,SANTA CRUZ DE TENERIFE,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",RENDIMIENTOS BRUTOS DE TRABAJO,25645.06,25645.06,,,,,,,,,,,,,,,,,,,,,,,,
Rubéndaríovegaarias,RUBÉN DARÍO VEGA ARIAS,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA,TENERIFE,5/12/1994,50% DOMINIO COMPRAVENTA,,,,,,,,,,,,,,,,,
Rubéndaríovegaarias,RUBÉN DARÍO VEGA ARIAS,,depositos,,,,,,,,,,,,CUENTAS CORRIENTES,"1,800.00 €",1800.00,,,,,,,,,,,,,,
Rubéndaríovegaarias,RUBÉN DARÍO VEGA ARIAS,,vehículos,,,,,,,,,,,,,,,,,,,2014,SMART FOTWO,,,,,,,,
Rubéndaríovegaarias,RUBÉN DARÍO VEGA ARIAS,,deudas,,,,,,,,,,,,,,,,,,,,,,,Prestamo Hipotecario (Caixa D'Estalbis/Pensiones de Barcelona),34135,"98,826.00",30000.00,,
Pedrosánchezpérez-Castejón,PEDRO SÁNCHEZ PÉREZ-CASTEJÓN,MADRID,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",PARTIDO SOCIALISTA OBRERO ESPAÑOL (enero-mayo 2018),30261.23,30261.23,,,,,,,,,,,,,,,,,,,,,,,,
Pedrosánchezpérez-Castejón,PEDRO SÁNCHEZ PÉREZ-CASTEJÓN,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",PRESIDENTE DEL GOBIERNO Üunio-diciembre 2018),35299.48,35299.48,,,,,,,,,,,,,,,,,,,,,,,,
Pedrosánchezpérez-Castejón,PEDRO SÁNCHEZ PÉREZ-CASTEJÓN,,rentas,"Dividendos y participación en beneficios de sociedades, comunidades o entidades de cualquier clase ",DIVIDENDOS Y OTROS,294.02,294.02,,,,,,,,,,,,,,,,,,,,,,,,
Pedrosánchezpérez-Castejón,PEDRO SÁNCHEZ PÉREZ-CASTEJÓN,,rentas,OTRAS rentas o percepciones de cualquier clase,ARREDAMIENTO DE INMUEBLES,13871.11,13871.11,,,,,,,,,,,,,,,,,,,,,,,,
